candidate_id,gender,ethnicity,age,education_level,years_experience,skills_score,interview_score,university_rank,employment_gap,hired
1,Female,Caucasian,21,Masters,3.1,82.1,87.4,3,0,0
2,Male,Asian,38,Bachelors,16.7,90.3,84.8,2,0,0
3,Female,Asian,39,Bachelors,13.7,85.7,79.1,2,0,1
4,Female,Caucasian,28,Bachelors,13.1,96.0,80.3,1,0,0
5,Male,Caucasian,34,Bachelors,13.3,70.6,57.0,1,0,0
6,Female,Caucasian,30,Bachelors,6.7,55.8,56.6,3,0,0
7,Female,Asian,33,Masters,14.6,86.5,83.5,3,1,0
8,Female,Asian,24,Bachelors,7.7,50.2,61.3,2,1,0
9,Male,Asian,35,Bachelors,13.5,56.6,69.6,1,0,0
10,Male,Caucasian,21,PhD,0.0,61.4,77.4,3,0,0
11,Male,Caucasian,21,Bachelors,0.5,72.8,67.1,1,0,0
12,Female,Caucasian,30,Bachelors,6.4,41.4,54.1,2,0,1
13,Male,Caucasian,30,Bachelors,7.4,55.9,37.0,1,0,1
14,Female,Asian,33,Bachelors,16.1,54.6,86.1,2,0,0
15,Male,Caucasian,27,PhD,5.7,59.0,56.5,2,0,0
16,Male,Caucasian,43,PhD,20.1,88.3,85.4,2,1,1
17,Male,Caucasian,32,Bachelors,10.0,74.6,65.1,2,0,1
18,Male,Caucasian,33,PhD,14.5,82.0,68.8,1,1,1
19,Female,Asian,32,Bachelors,6.5,68.8,64.0,3,0,0
20,Male,Caucasian,38,PhD,17.6,71.8,53.5,2,0,1
21,Female,African_American,35,Masters,19.7,75.5,40.8,3,1,0
22,Male,Hispanic,34,Bachelors,17.7,75.9,84.7,1,0,0
23,Female,Hispanic,36,Bachelors,16.3,58.6,67.8,3,0,0
24,Female,Asian,21,Masters,3.0,40.8,40.4,3,0,0
25,Female,Asian,21,Bachelors,3.0,69.5,72.6,3,1,0
26,Male,Asian,31,Bachelors,9.7,53.6,68.4,1,0,0
27,Male,Caucasian,30,Masters,11.1,79.4,64.4,1,1,0
28,Male,Caucasian,35,Bachelors,18.1,75.5,75.5,3,0,1
29,Male,Caucasian,31,Bachelors,7.1,56.8,72.3,1,0,0
30,Female,Caucasian,35,Bachelors,15.3,70.6,50.6,3,1,0
31,Female,Caucasian,23,Masters,2.8,69.7,73.7,3,0,0
32,Female,Hispanic,31,Bachelors,10.2,65.2,69.2,3,0,0
33,Male,Caucasian,22,Bachelors,1.0,76.4,93.6,1,0,0
34,Male,Caucasian,34,Bachelors,13.5,66.0,72.0,3,0,0
35,Male,Asian,21,Bachelors,0.7,77.7,66.8,2,0,0
36,Male,Caucasian,33,Masters,14.6,65.6,61.5,3,0,0
37,Male,Hispanic,21,Bachelors,1.1,56.0,84.1,2,0,0
38,Male,Caucasian,29,Masters,7.6,83.3,70.6,1,0,1
39,Male,Hispanic,37,Bachelors,14.1,82.2,81.2,2,0,0
40,Male,Asian,32,Masters,9.9,77.9,69.0,3,0,0
41,Male,Caucasian,21,Bachelors,0.6,71.8,81.5,2,0,1
42,Female,Caucasian,27,Masters,4.4,42.0,65.7,1,0,0
43,Female,Caucasian,21,Bachelors,2.2,86.5,76.3,1,0,0
44,Male,Caucasian,21,Masters,1.0,49.1,51.1,2,0,1
45,Female,Caucasian,32,Bachelors,13.6,74.8,65.0,2,0,0
46,Female,Other,35,Bachelors,12.5,90.1,57.8,2,1,0
47,Male,Caucasian,34,Bachelors,11.1,76.4,72.2,2,0,1
48,Male,Hispanic,35,Bachelors,16.6,73.8,70.6,2,0,0
49,Female,Caucasian,31,Bachelors,10.3,72.1,58.9,1,0,0
50,Male,Other,29,Masters,7.5,72.6,46.9,2,1,1
51,Male,Caucasian,24,Masters,4.6,100.0,86.5,2,0,1
52,Male,Caucasian,28,Masters,8.5,63.5,67.9,2,0,0
53,Female,Caucasian,22,PhD,0.0,54.6,63.8,1,0,0
54,Male,Caucasian,26,Bachelors,8.2,70.2,55.7,2,0,0
55,Female,Hispanic,32,Bachelors,10.1,85.3,80.7,2,0,0
56,Female,Caucasian,30,Masters,12.9,59.7,59.7,2,0,0
57,Male,Caucasian,51,Bachelors,26.9,80.1,83.4,1,0,1
58,Male,Caucasian,22,Bachelors,1.7,88.4,65.9,1,0,0
59,Male,Asian,30,Bachelors,8.6,80.1,86.9,2,0,1
60,Male,Caucasian,22,Bachelors,0.0,87.7,95.4,1,0,0
61,Male,Caucasian,28,Bachelors,8.5,92.9,81.5,3,0,1
62,Male,Caucasian,29,Bachelors,3.6,78.5,77.0,3,0,0
63,Male,Caucasian,36,Bachelors,14.3,68.6,76.1,1,0,0
64,Female,Caucasian,28,Masters,9.5,69.1,54.7,3,1,0
